春秋亭外风雨暴,1,春秋亭外风雨暴，
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3329438.4227835964,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,3338154.8632851066,1.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,3623082.8654627833,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3774947.1320949341,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,3825590.205700737,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3831093.0871129944,0.14285714285714285
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,3838873.0301964721,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,3838880.3149531498,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3911194.7843553163,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,3933137.7283368632,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,3944811.7374006105,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,3965975.3541457392,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,3967693.9938042266,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,3993769.4262156491,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4009352.9169060127,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4040995.8765733354,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,4086916.5924528404,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4182581.9131081258,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4232749.0075673684,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4262866.8538368065,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4280218.5630060956,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4288599.7476059347,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4293377.1066010101,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4310417.2524953578,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,4333948.4469834995,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4427705.3283423092,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4466097.8813069556,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4506456.4099143948,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4515047.7523324937,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4517480.5076076128,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4519388.016660112,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4536925.2184497053,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4589366.895855627,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4590098.4543495551,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4627818.1969351862,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4711173.6076965444,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4714377.5301036201,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4746963.9780866317,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4750708.3452668898,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,4751806.4657554841,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4754848.2416569628,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4779230.05185844,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4802474.2791615436,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4806517.4711505799,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4838800.4861311587,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,4839015.2653626213,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4852273.0797115667,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,4853574.6077797208,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4872021.0525795389,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4895628.8223200832,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4936028.2423585504,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4962096.883984712,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,4964658.5949015357,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4987449.4219747419,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5033981.3542005932,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5038405.7874208707,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,5040421.3731298102,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5068644.99966319,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5101575.3747078422,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5167319.765965228,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5187376.5499184132,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5207607.9851785842,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5220982.8828191049,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5270194.8037425512,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5281226.1395077622,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5290594.2725164387,0.0
