何处悲声破寂寥,2,何处悲声破寂寥。
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,3832847.3192506293,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,3878591.2967864433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,4068709.0106561426,1.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,4160683.7779459418,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4187416.1246060063,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4293936.2266330365,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,4498452.0885900604,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4801042.1312319459,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,4840175.4425633736,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4915600.0107778832,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,4962915.7531421715,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5020096.093627343,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5262745.0792740574,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,5272945.8082986139,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5286976.2019233182,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5484646.383734283,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5673463.895535334,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5743985.8541760864,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5787551.5017968109,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5866309.2218510015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5918939.9063771768,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5926267.2186173806,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6093790.3067735936,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6109912.7571974937,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,6119784.8416120531,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,6143259.2566032112,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6208215.440368576,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6208215.440368576,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,6221314.0031038998,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6267965.8445442999,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,6267965.8445442999,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6356142.8725839462,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6379245.6498211613,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6433231.778556902,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6489706.1682643546,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6533146.3112283135,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,6549965.9173937375,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,6553010.5938969683,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6596314.708147333,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,6602687.2470578859,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6607491.3360628067,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6610859.9849467948,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6633312.6956774769,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6648064.1081678458,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,6723194.54121326,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,6771100.0305736251,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6810329.2187267877,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6869666.45547916,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6871972.0841302425,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6879623.5464006066,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6907480.7849122724,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,6910278.8927287944,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6916762.2951565199,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6929875.7689657332,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,6949218.4655702654,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,6953613.0298818909,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,6967446.1604351029,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6976260.3770297216,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,7040647.5441014124,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7040766.6309829578,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7083215.7963037044,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7112723.681032382,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7124006.9112989111,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7133104.8116626833,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7147817.6597178252,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,7162053.3197139474,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7206897.5851851869,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7234766.4597999379,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,7275824.8028325271,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,7338646.3532704609,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7344914.9887423664,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7353641.8275310034,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7353835.6313594552,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,7354495.402140961,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,7382246.682872327,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,7398486.8308586599,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,7408354.5168223307,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,7420293.812942544,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,7455755.1453322424,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7493199.3650782648,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,7515361.5044079786,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,7519452.0771827335,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7564048.2876513628,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,7571473.8934047399,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7631176.427636914,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,7636316.0770296576,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7650225.0955049368,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7738024.4690523809,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7768253.5623009866,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,7775817.9598912215,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7783070.4445696985,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,7786621.1168885287,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7795517.7065133918,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,7807453.3053960744,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7807933.4492777456,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7819814.5945206964,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7841019.1765187047,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,7865590.4230728308,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7917226.4656671928,0.0
