轿内的人儿弹别调,32,轿内的人儿弹别调，
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,1472039.323431378,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,1743376.1625282753,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1797865.3714779771,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,1942729.3817160409,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,1950577.6526295575,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3200002.9695232748,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3207074.1514271246,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3451679.6765857921,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,3621265.8834387437,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,3772490.4783670097,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3843484.6049571619,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4156911.1598627223,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4193740.0015860153,0.125
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4679173.5886465488,0.125
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4684732.6711593522,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4788688.3022298254,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4893172.651702268,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4900079.2115796739,0.125
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4995783.7655833401,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5120668.095057955,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5173178.7317449665,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5229138.4821618004,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5305324.9632797344,0.125
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5359700.9580057217,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,5419098.0796625782,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5497507.5157868043,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,5521501.1708897175,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,5591475.8473498281,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5791717.2835955415,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5801298.85396423,0.125
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5821946.0273644356,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,5976092.3312401325,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,5981629.0208333973,1.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6026542.9559278246,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6074050.4897716995,0.0
