隔帘只见一花轿,0,在隔帘只见这一花轿，
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,3236894.576177354,1.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,4141492.7175997971,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4158571.5283819609,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,4640630.0179263717,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,4804360.3456449872,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4909134.8138131043,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5116606.1299961731,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5241752.7883453397,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5404014.0643135868,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5406679.3640088225,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5531954.1979899388,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5618894.933972992,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5636371.5262098536,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5696224.4370868327,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5788043.5766501203,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5797278.1483608363,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5802306.6197949173,0.0
