为什么鲛珠化泪抛,0,为何鲛珠化泪抛？
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,1243375.0979538921,0.75
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,2700912.5188747179,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3343123.1808108133,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3403478.1878425851,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,3886134.1890443838,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,3932439.1505898912,0.25
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4057915.8042188636,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4087163.3867617198,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4126892.3091693502,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,4166860.5462999847,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4169259.8179474887,0.125
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4203034.7774845343,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4224943.0050277626,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4256214.9455183214,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4320336.6117283683,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4367064.4364305669,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4374055.5758669879,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4421929.7416787781,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4437660.586207618,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,4519644.9174175877,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4525741.6728203185,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4580404.8007035833,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4586726.0027255407,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4600675.6996628046,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,4610794.7737531438,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4661213.0703404788,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4723345.5692958673,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4751824.4068600219,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4756479.5824771225,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4779182.5645250063,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4779442.1717543798,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4826112.7588331485,0.125
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4829060.9083572328,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4830249.3356462801,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4858206.5261126189,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4985602.1377701629,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5014624.7364531094,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,5022016.707338037,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5024456.0127845295,0.125
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5041336.2565856297,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5058345.512230997,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5066817.4201154932,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5066817.4201154932,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5082977.8369687013,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5098031.8179516653,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,5170853.2840233548,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5177029.2866884004,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5187969.0649132468,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5212353.1256960155,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5222329.805245704,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5234893.3408391532,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5237543.8611064488,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5238152.5313155735,0.0
