此时却又明白了,0,此时却又明白了，
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,2071197.5695986056,1.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,2792221.682989324,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,2983417.0163543103,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,3105429.9550525183,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,3479884.2714127479,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,3521677.1094588479,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3671849.5039033336,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,3793860.0766216959,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,3861764.4016709062,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,3874270.4886113163,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,3980508.5082068895,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4028003.8613411216,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,4068233.7222652365,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4086997.3043879983,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4097738.116604602,0.14285714285714285
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4111630.1563450051,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,4115861.8154731132,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,4158526.3116253936,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4175570.409646228,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4189946.425654321,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4193309.4824385126,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,4214104.6947762575,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,4286914.9412616855,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4336492.9005598519,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,4341538.9637961378,0.0
