世上何尝尽富豪,9,世上何尝尽富豪，
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,442065.27050820575,0.2857142857142857
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,451347.22166056372,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,1356117.3501702105,0.2857142857142857
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,1477304.3949274393,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,1738792.1763277997,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,1901295.3376649038,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,1935076.5829652366,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,2243593.6063427334,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,2532672.553911441,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,2593810.3694133665,1.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,2670548.1096664709,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,2734951.7948901746,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,2788297.1339852666,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,2819262.7276815795,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,2957245.0144480555,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3074726.4545063591,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3188354.1744189668,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3263351.355004828,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,3279579.6355309505,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3334820.9324682322,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,3348557.0547015271,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,3515979.9390021274,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3520358.080095625,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3538293.1708765174,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3567817.4549335651,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,3613645.7745214417,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,3625849.8289392106,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,3802466.2534408327,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,3818998.8294460154,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3823866.4814282595,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3823866.4814282595,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3843825.0058490699,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3870440.3362962664,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3912048.2659035325,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3955230.2007752294,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4198590.8830891466,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4198645.6196559612,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4205222.1413033176,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4205222.1413033176,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4225020.6684513874,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4267956.4179027388,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,4310796.5644772183,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4401612.5473529091,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,4438991.0385252275,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4463029.768550016,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4491862.5117132133,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,4500161.8812030088,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4515384.8052623384,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4534484.9947348246,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,4582552.609210033,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4610185.6713861264,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,4645918.4658594932,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4653319.7986047547,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4675492.3504064698,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4699623.9560223715,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4769566.8378483448,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,4781310.2679165686,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,4792121.5419566957,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,4794516.8834143542,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4795333.3463961901,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4796667.946974461,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,4800202.8160096202,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4840128.4073759168,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,4884188.3593206927,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4923640.121281934,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4932287.4682764281,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4949646.81189459,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4963265.35329712,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4988260.806945771,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4999224.0479996232,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5022133.6129153604,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5027674.131627989,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5059769.8714979151,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5070840.5785451578,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5073005.0759110674,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5086329.9152732389,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5120815.1639450071,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5122693.1340489257,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5145788.5742503619,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5171042.0613041874,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5186059.4442969253,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5191068.2539007012,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5271042.3675386822,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,5275391.9025925566,0.0
