也有饥寒悲怀抱,80,亦有饥寒悲怀抱，
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,2190481.1108385394,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,2498285.490249034,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,2734826.6636708635,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2742201.9748710077,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,2755162.3169614961,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,2784469.62771146,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,2797031.3233627435,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,2845360.3358412203,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,2938597.6692339364,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,2965870.0025511091,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,3046322.4080291595,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,3095851.37778178,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,3103996.7651419388,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3124582.0743261063,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,3124907.0230209553,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,3128893.3653860162,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,3140945.1302270726,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,3198894.4031876777,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3199715.7880093311,0.14285714285714285
