观世音满月面珠开妙相,0,观世音满月面珠开妙相，
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,1607830.3430438929,1.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,1687804.6162888294,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2757822.2917200588,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,3192593.9991606344,0.1
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,3194623.5638553668,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3432418.6374454247,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,3548428.8540772311,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,3646749.8079150314,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3849980.853686105,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,3854014.1243449911,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,3923544.3453810033,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,3965251.7348181382,0.0
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,3988827.007753415,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,4037337.0765733025,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,4229494.6252618516,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4267588.8721420486,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4274850.6609600075,0.1
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4287133.2273634765,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4287133.2273634765,0.1
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4358835.8812932065,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4358835.8812932065,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4361194.4728239682,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,4385196.1177504025,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,4501081.7416708115,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4562226.7678836826,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4738078.4169709859,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4863005.8936253414,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4877762.5737062246,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4921813.3352443129,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5086173.9007452782,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5086173.9007452782,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5106474.2268301956,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5116354.6787837502,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5189959.7638535136,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5190810.0000479743,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5202587.3196205338,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,5215250.0561978295,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5299793.2963127233,0.1
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5302324.2698987303,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,5360824.2605246492,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,5360824.2605246492,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5368351.9549074043,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5379143.1173533797,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,5389232.0213341359,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5398266.2553119231,0.1
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5403588.9031075696,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5484893.298084544,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5497764.4250515569,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5556968.506796483,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5585951.5463565309,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5684051.4685757216,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5721223.9922249038,0.1
