有善才和龙女站立两厢,3,有善才和龙女站立两厢；
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,681795.39765505481,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,808685.11072186904,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,1449299.8531106892,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,1513876.9009299271,1.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,2539830.4273881498,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,2606539.0140741188,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,2908507.9299895177,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3060359.1490419507,0.1
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3303996.9433771553,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3383826.9764693407,0.1
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3435648.6119518098,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,3661392.4453340219,0.1
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,3844284.8937843461,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,3894611.1821779348,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,3927157.1001817472,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4010995.119426576,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4017259.8783621057,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4155109.1230231207,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4176087.4156175284,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4206324.1685460499,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4290821.6880850689,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,4290821.6880850689,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4325627.2097066827,0.1
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4325916.7461184422,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4349881.7032671133,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,4424606.6541382857,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4439321.785843146,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4518232.8625294277,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4529536.6525829611,0.1
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4566948.2638904667,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4658096.2955189096,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4746120.5456961757,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,4790922.2053944906,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4818692.7830634639,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4858685.2230032058,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4869048.6844041767,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4945540.3867149428,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4952106.3192620371,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,4999729.0949670374,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5008029.8236692883,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,5039754.5494089322,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5044998.4521619203,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5093270.7556253467,0.1
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,5130785.647690054,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5165595.9220981458,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,5183681.6852846127,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5213208.1824153541,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5293035.709977896,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5302853.6069414644,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5305823.1075456087,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5311139.888146963,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,5334826.1872436982,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,5349158.3265268737,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,5386221.8155312641,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5446132.9485625457,0.1
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5478374.1274789106,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5482414.1530716345,0.1
