菩提树檐葡花千枝掩映,0,菩提树薝卜花千枝掩映，
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,966838.63580971514,0.8
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,1521878.3109224013,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,1601828.4780746545,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,3868954.1012512129,0.0
daxp-GuanShiYin-TianNvSanHua.xml_3,白鹦鹉与仙鸟在灵岩神岘上下飞翔；,4053473.445698522,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4576315.0734076863,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4691703.4587046653,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5040563.4361557597,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5060006.5864852034,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5211899.9223024966,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,5311169.8049385455,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5423113.9339409387,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5423113.9339409387,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,5470071.1774435053,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5475230.3662984604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5537143.0270146085,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5566248.6573412335,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5630676.2392761586,0.1
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5719248.9152551619,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5743101.1080264952,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5752054.6593843019,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,5761234.2393426513,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5773177.7204998331,0.1
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5829257.5070902621,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5854693.239489818,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5868981.3653926402,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,5929206.5521407435,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5933969.2687500361,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5952502.0088628251,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5971322.7740274677,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5995888.595371333,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,6055156.1766917203,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6062472.5387041699,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6100798.5808952916,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6133867.865435537,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6142768.2431323482,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6163464.9025896015,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6173860.7566229859,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,6202394.2172586955,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6223554.2951909965,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,6224151.6809066804,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,6251215.2336610528,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,6260247.8527575936,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,6301198.5613093488,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6322493.6399264159,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6330686.0207126606,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,6335045.5158596514,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,6347746.4601805015,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,6359254.0473715849,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6395114.16487318,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6410956.2104300261,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6422887.4451074218,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6448677.3904091539,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6455441.341500869,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6471464.5517945187,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,6484611.8623796282,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,6506476.7546071466,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6524547.494280085,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6545605.2314036358,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6557515.7686869092,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,6577526.4149237918,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,6577526.4149237918,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6586624.2188325226,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6606895.3993498227,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6653303.5218314501,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6685147.6970888367,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6687904.3059738008,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6733037.2744592633,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6733652.888813273,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6738508.3096227013,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6740532.1581255747,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,6753310.0753000993,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6759822.8202182585,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,6765823.6058794474,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6792160.213879738,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6809275.915961476,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6810337.669390846,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6816754.1198385945,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6846815.0184358377,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6854147.2439319193,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,6857448.844114745,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,6869128.6834409358,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6874510.7020859942,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,6908206.9682898931,0.1
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,6955992.0655232938,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6981909.2910636468,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6997664.1787997661,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,7007003.498270669,0.0
