好似我散天花纷落十方,0,好似我散天花就纷落十方；
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,2487054.8473550659,1.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,2826377.9362616972,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2941557.4506543255,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3141900.2745390511,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3384058.744671043,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3523673.7230211417,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,3561598.2488943962,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3621794.27353945,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,3665622.4434523708,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,3763059.4549560156,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,3937312.3222698993,0.1
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,3980915.0688296929,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4060993.5003626309,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4151262.3440049109,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4221868.9483984765,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4274617.625143473,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4363977.452928748,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4432127.6205894556,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4554591.0191368256,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,4644740.5852583349,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4645610.8987634899,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,4673058.4047626778,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,4674099.5282180551,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4709216.4863992883,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4709900.23344767,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4717884.2808114188,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4722770.1214323286,0.1
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4790852.0186952306,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4812865.652114206,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4828572.6871122215,0.1
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,4852432.4793721829,0.1
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4912755.7436455544,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,4964496.1933184462,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4972700.488619159,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,4974041.5501259994,0.1
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5047269.4378703823,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5097714.0443295892,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5128924.5623001708,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5211375.9255988356,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5258811.9550446291,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,5262045.3452023724,0.1
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5330737.9543060604,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5335217.2116882941,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5335217.2116882941,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,5362529.3544162549,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5383482.493155269,0.1
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5399030.1099494789,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,5537424.788439638,0.2
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,5549879.7567592626,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5575486.0035348814,0.2
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5627705.3625458935,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5691821.9949504882,0.1
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5751638.5461459467,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5751638.5461459467,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,5787963.090694611,0.1
