满眼中清妙境灵光万丈,0,满眼中清妙景灵光万丈，
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,3264227.3593287086,0.9
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4231744.4972127667,0.1
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,4322913.5862317597,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4394539.7908510622,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4536756.4359266227,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4550281.9305963647,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,4734581.1233711867,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4788889.6791124837,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4951040.7852937477,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4972644.0948390244,0.0
daxp-ZhiJianTa-WangJiangTing.xml_9,相公你为何不歇息？,5057842.2291720985,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5077044.6256910721,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5118268.3666016972,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,5290437.7300495561,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,5295016.1768255122,0.1
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5304282.8374564284,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5329561.3235820541,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5343030.3445068859,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5343349.1462370511,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5364108.8158441437,0.1
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5412531.3214378348,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5412531.3214378348,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5436597.6002471969,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5446294.0654844595,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5514816.492769015,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5583189.8987964885,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5599637.165895367,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,5602864.3231314216,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5612208.0747122616,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5626566.3324580798,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5632194.5382323554,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5643624.6747646155,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,5700136.4381467812,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5723355.1648472575,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,5729526.3670222973,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5732422.1524541443,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5732422.1524541443,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5760854.6724680951,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5774877.2843277492,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5786524.8880739016,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5842387.3047496127,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5878365.973320784,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5881214.5756814824,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,5897795.445387207,0.0
