催祥云驾瑞彩速赴佛场,0,催祥云驾瑞彩速赴佛场。
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,1726623.8898279665,1.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,3393745.3399800565,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,3976231.1663469435,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4196581.3542270986,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,4354105.2760371072,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4519310.1869516494,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,4826975.5496583134,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,4877395.9920683941,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,4911770.4200163484,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4950117.6159396078,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4973758.5103200367,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,5040042.4500721544,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5043302.8095778171,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,5088478.2916599726,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,5088478.2916599726,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5148525.5378411347,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5346620.8682100112,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5346620.8682100112,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5451681.7817440247,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5479322.4395033093,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5485718.1006969502,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,5608268.6425309759,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,5612977.307129682,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5661190.332435742,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5681740.2024281919,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,5710029.9293459337,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5734785.1944139758,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5760510.2369156489,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5785887.4315881459,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5871299.1211753935,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,5931075.4832448661,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5944654.9534811312,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5973594.8272730652,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5980067.3088279534,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6053590.6576307658,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6182845.3604169153,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6276217.4918463463,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6285375.5932013374,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6294237.907700141,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6341191.7970847478,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6372556.8499217499,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6391093.9957127078,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6427647.3820923418,0.0
