叫张生隐藏在棋盘之下,13,叫张生隐藏在棋盘之下，
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,2720161.2568497425,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,2882242.8172370787,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,3385765.8983670552,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,3436442.6381066609,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,3566320.9067989066,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,3572851.3571625333,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4010222.0983907487,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4046751.095730029,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4433981.0912713297,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4481121.6774165733,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4523123.2674327791,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,4541393.8896553088,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4598331.7643984798,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,4661177.6232265085,1.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4970798.2021403406,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5056460.1203250894,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5071255.0950724389,0.1
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5084696.8249818124,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,5111782.0932658175,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5131312.7234226102,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5210964.4740130799,0.1
