我步步行来你步步爬,0,我步步行来你步步爬。
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,1264661.3971519612,1.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,1834658.6227083071,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,1926347.9138787957,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,1936377.0137682329,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,2209513.3515753997,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,2419008.4199679755,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,2909369.4022770929,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,2928028.7125257296,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3114811.2101408071,0.0
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,3138979.8663082812,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3181313.4101461461,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3191776.778139492,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3396184.6356375027,0.2222222222222222
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,3484632.3654752555,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3696226.2530896054,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,3722496.2582412064,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,3850050.4380085105,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,3893803.6146890656,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,3987886.2466628379,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4081074.428746711,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4081074.428746711,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4282124.767017669,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4311303.6728490163,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4316403.1858583549,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4323324.6637135884,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,4379109.4663342396,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4397956.823666784,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4409768.6533701001,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4436607.9346841834,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4448702.9564534612,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4468021.2501592543,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4474179.4974959632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4483451.3570367526,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,4514734.9361302461,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,4545415.8629454086,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4582919.5905382773,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,4617751.587217072,0.1111111111111111
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4639382.4879274266,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,4646429.6019715304,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4649112.582723924,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4649816.5809965841,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,4671797.4697217261,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4767575.8635063544,0.2222222222222222
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4803811.1488597607,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4803811.1488597607,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4834029.3592283567,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4879222.4892964764,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4890655.2831981461,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4910930.8441539034,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4930879.7552883541,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4959382.6409657374,0.1111111111111111
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5016809.1948999083,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,5060840.3173790164,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,5075771.1750367191,0.1111111111111111
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5093130.3882753467,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5096566.7124884473,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5166586.7650338048,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5232729.1481486484,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5237730.5896935882,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5264513.5983398361,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5269522.3171172803,0.1111111111111111
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,5304425.1658420665,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5320113.5740720686,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5333450.6650885213,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5361082.2402761271,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5433762.7096766923,0.1111111111111111
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,5487024.3892423222,0.0
