放大胆忍气吞声休害怕,0,放大胆忍气吞声休害怕，
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,1445792.1843490372,1.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,2910972.9866194036,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3787190.3999687033,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4352865.7640814213,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,4498389.516971631,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4832507.9562861221,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4966209.4262547605,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,5169461.6421545632,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5176395.9829316232,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5235099.6904555392,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5339727.2037170781,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,5463743.9177978234,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5872076.4589856798,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5887344.8760761991,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6127864.9153483789,0.1
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6205515.088655876,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6217263.9727477934,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6275900.1531919427,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6323218.4704924086,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,6340696.7747941203,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6465875.5639800541,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,6583581.0314789033,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,6698903.6346704513,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6737014.5118387127,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6861687.2430324154,0.1
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6998177.232915381,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,7046948.3060415797,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,7197194.2082384732,0.1
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,7233346.8844575966,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,7247004.1809518123,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7396678.3382615903,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7417500.8420610214,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7423238.7342446474,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7495525.3918228131,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7593959.8947952492,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,7612466.317433252,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7613280.999256691,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7668725.5032663895,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7828880.3272526627,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7866593.7896777429,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7872855.926207385,0.1
