跟随着小红娘就能见着她,237,那就是来了我西厢带路的小红娘。
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,1462569.7274887867,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,2042300.3554036405,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,2479334.1987135625,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,2497661.5114366235,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,3077875.5655363314,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,3101140.3255886869,0.09090909090909091
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3111489.3995680828,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,3267583.1902140193,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,3267583.1902140193,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,3284427.3309722724,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,3309796.3205335592,0.09090909090909091
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3450058.6357397889,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,3452938.022646511,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,3557771.6290883585,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,3606512.12891185,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,3621084.1589167262,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,3711399.2128705904,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,3798325.8682448394,0.09090909090909091
