可算得是一段风流佳话,54,这也算是一段风流佳话，
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,1562268.1093890497,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,2933026.3355107345,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,3682270.174923386,0.1
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,3750855.2526403419,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,3751084.1219949564,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,3761667.6104192347,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,3824433.5816835687,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,3889692.8373614787,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,4093888.7138196914,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4241077.916943592,0.1
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4241077.916943592,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,4386430.8231501263,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4449637.1059336253,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,4490309.0853315135,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4504376.7584910067,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4532027.3707238752,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4607689.7684394773,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4667594.1132986899,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4774194.7543847216,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,4783961.6810886646,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,4961143.1260132361,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,4993023.7224945482,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5141394.661265092,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5144833.8597611319,0.0
