听号令且莫要惊动了她,0,听号令且莫要惊动了她。
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,1816904.3881490957,1.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,2828145.1436289577,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,2832079.9401625614,0.2
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,2965734.4111133018,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,2992841.3068110035,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,3214144.6789879831,0.1
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3531785.0900580799,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,3736587.0684470921,0.2
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,3816233.7026307313,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,3905037.324616048,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4042534.0103208269,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,4060266.8934917003,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,4093425.7956333118,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,4230661.3990152339,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4252996.8532985412,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,4285568.0295267887,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,4317867.8342496771,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,4487515.8300185474,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,4551727.1051984224,0.1
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4553358.9213180337,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,4593464.7474658368,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4637909.5745650195,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4651408.2239551041,0.1
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,4678212.8702409966,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4800440.3067130074,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4860566.3737885216,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4884441.197884772,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4922544.7058457751,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4960893.0006265501,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,4993350.0066804141,0.1
