猛听的金鼓响画角声震,0,猛听得金鼓响画角声震，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,1640745.5098827253,0.9
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,2789502.4588897545,0.1
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,2835645.4796515945,0.1
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,3010592.986173783,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,3075510.2593309013,0.1
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,3167315.6606134307,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3255680.0742488974,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3480195.580013793,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,3538579.9510323023,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,3560756.3767130566,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,3633956.1164833223,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,3639763.2950385595,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,3680555.5898173894,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,3736685.9763185605,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,3796743.7302165059,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,3844970.5208837776,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,3844970.5208837776,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,3878465.9506536918,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,3878465.9506536918,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4074189.8299955553,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4132567.6563057248,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,4267562.613624379,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4356628.4301520176,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,4436844.7171936557,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4489891.0007359115,0.0
