想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,1732426.5981835041,1.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,3300986.4627609346,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,3385989.9814664172,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3442477.55537224,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,3467996.5049366881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,3674752.7882501995,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3736497.0628449619,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,3763251.9780472526,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,3826396.6827091598,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3878031.1279821582,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,3927955.0436401311,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4017072.7309205974,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,4027826.2756273551,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4040072.4676173576,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4141688.4417229132,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4220748.2304430837,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4343562.0755165583,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4429271.271699612,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,4566841.4190874323,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4622160.348441259,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4780094.4513564333,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4804955.3011841411,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4828857.780218198,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4904063.8150960384,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,4937917.5645897025,0.09090909090909091
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4993363.5410905499,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4999243.4341626754,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5027213.8592194645,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5127554.3672604132,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5301436.0641769068,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5312789.5833884012,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5385061.4437981043,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5389565.1184781203,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5446423.0899325153,0.0
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,5455198.6663869331,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5464151.0695436904,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,5486814.1026356062,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5541612.8325660713,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5590297.7652043188,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,5591644.0142698959,0.09090909090909091
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5593698.3337352788,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5610580.3532486744,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,5626186.2752890317,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5721636.6253276132,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5767770.6079316279,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5779738.5808892949,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5794419.8646433027,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5896045.2613362744,0.09090909090909091
