敌血飞溅石榴裙,0,敌血飞溅石榴裙。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,1081455.4061810609,1.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,1357481.1099802395,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,2265123.7133836807,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,2265123.7133836807,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,2816745.805574629,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,2863180.9189367127,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3260375.5430300529,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3269350.2977178744,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,3316528.9237306719,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,3402493.1643961244,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,3457407.4055867749,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,3475854.0653089206,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,3558541.9942216263,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3582760.4051578883,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,3617283.4905719333,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,3828748.3149595563,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,3865420.9813603745,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,3877714.3362306748,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,3877714.3362306748,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,4008950.5961164343,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4064051.5088424664,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4133728.4159673844,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4147113.2938901917,0.0
