有生之日责当尽,14,有生之日责当尽，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,2084238.4870684769,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2084670.5663874145,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2114612.5866689063,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2125537.2714330778,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,2553620.6488419436,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2644023.8109066598,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,2764526.3182299603,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2802797.1617533327,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2813611.8988909982,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,2895687.4037433034,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2915699.7560167057,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,2943469.159583312,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2975939.3506154427,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,2999847.3843278536,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,3008529.1393420477,1.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3011136.0741849989,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3037102.630034558,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3049298.2105726693,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3065588.2924360158,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,3069689.3933202745,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3104416.271685801,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,3334718.6662108889,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3387619.6658184468,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3464182.2864379631,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,3639696.4436233039,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,3692183.3609808069,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,3775300.3359540976,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,3789493.0877116174,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3858291.0610681856,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3982276.1182223116,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4037936.1387458318,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,4078953.5078809024,0.0
