我一剑能挡百万兵,20,我一剑能挡百万兵。
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4290065.7805584082,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4535646.4795922143,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5007654.8935340578,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5094622.987956401,0.125
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5309682.6507330751,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5342389.3886581333,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5515069.1128653931,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5596388.8594599571,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5745525.1922170613,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5824354.7683989219,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6128747.6189569384,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,6191958.1831408991,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6210498.0480085732,0.125
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6236464.2193533657,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6255634.2419845657,0.125
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,6306197.7980204783,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,6419441.5957206218,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6508597.3919428429,0.125
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6547432.7507078322,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6570603.8913557008,0.25
