猛听得金鼓响画角声震,36,猛听得金鼓响画角声震，
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,3265439.075381021,0.1
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,3292603.8707791208,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3450787.9431815268,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3857438.4497406483,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,4077903.5487746904,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,4105190.5220900918,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4373275.2600337565,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4417463.933126335,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4419805.3357496252,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4663287.5007279394,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4850363.7706384044,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,4914681.5849375399,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5125802.0949229049,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5153029.6021889234,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5157426.5340346219,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5199216.3714060914,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5272130.9155921219,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5333044.2698113257,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5385196.9684548536,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5398937.3785121664,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5445712.2434532149,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5478003.6445695236,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,5494957.5626012776,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,5533691.2579017915,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5536841.872429152,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5584526.7542940006,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5616146.8033436257,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5704142.3673524959,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,5777630.5334897628,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5786569.1502626799,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,5807186.2539121294,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5962485.5057685198,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,6020568.6700347895,0.1
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6036376.2526016375,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6083828.7687848099,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6111406.5568142179,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6252986.0778743736,1.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6285177.9811315611,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6386820.2688999437,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6446166.4175012289,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,6540458.2780948374,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6541743.5951694902,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,6562217.16359023,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,6617304.4695303123,0.3
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6617750.9560347404,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,6776001.4690237176,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6778167.5093928576,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6797422.2838403443,0.2
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,6900469.7483376516,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,6905796.057626497,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,6922354.5299549606,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6971074.7643074738,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7067513.0068451818,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7078436.9855915122,0.0
