想当年桃花马上威风凛凛,0,想当年桃花马上威风凛凛，
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,1844866.6160572111,1.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,3484156.510340102,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,4047337.8173035728,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4117170.0706239552,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4234547.8527124021,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4248279.9088169672,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4284641.3227733104,0.09090909090909091
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4360512.4825132415,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4479722.5644892529,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4520001.2056511529,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,4564527.3415450742,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4568607.6366172321,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,4659923.834974139,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,4667075.1067324104,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4840656.5320727741,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4901528.7477606488,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4902307.3325901078,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,4971464.7979287272,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4975970.9051269237,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,4993408.746062139,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5024226.6357981954,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5119284.5220121518,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,5141055.9262989955,0.0
