唤起我破天门壮志凌云,0,唤起我破天门状志凌云。
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,744201.4361782812,0.9
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,839367.18453518837,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,1037932.0953292011,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,1951883.8230192708,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2151737.5222689677,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,2417056.5639220783,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2530907.6186320451,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,2605790.3141890429,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,2724766.8692078595,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,2739228.240543277,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,2807271.8813211713,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3005670.8451804277,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3276890.2370606596,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3354959.2083868501,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3358024.0468065739,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3365342.3745076535,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,3436819.7258786191,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,3626553.1667946079,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3786844.5550315459,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,3960955.3701829356,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,3969778.9840611657,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4002333.033099344,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4040514.3777675345,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4068555.9915430695,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4097190.5230384874,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4143277.642466567,0.2
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,4150979.4939424675,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,4184716.3907254753,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4205651.1584589062,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,4228542.7662625089,0.1
