昔日梁鸿配孟光,19,昔日里梁鸿配孟光，
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,2440294.9556335248,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3419667.1747292196,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,3445804.0049500014,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3631713.8976151296,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3770924.283982812,0.2857142857142857
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3842769.7675979342,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,3904024.5354277203,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4041880.7191836927,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4117994.1491347919,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4134960.7071507829,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4146513.4128727107,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4186452.9990733666,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4197695.3246860662,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4244607.8069255091,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4293601.7130316291,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4342596.5938136801,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4409076.5267643249,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,4458969.0511342883,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,4478983.959960809,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,4576406.1568852291,1.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,4587462.6504403939,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,4591584.9890871858,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4614023.8554974748,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,4617637.2539988356,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,4634548.7380081527,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4677778.3766944483,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4680269.4664109917,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,4728844.8390134973,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,4741155.4885346461,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4752269.5283477427,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4761991.4565549241,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4766083.0090128854,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4770095.9771788139,0.14285714285714285
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4772620.2793271141,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4795485.8443554742,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4842539.7449764088,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,4877150.4130546963,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4925690.4854974458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4925690.4854974458,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4935587.0785667486,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4950220.1503262296,1.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,4953277.4428105867,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4977471.8754551103,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5016393.297477534,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5022611.8666319987,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5022669.0930838538,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5038887.1948485393,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,5039015.1848216215,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,5096820.9432172626,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5149675.1028716248,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,5207501.8098720284,0.0
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,5210325.7265066868,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5219544.58694275,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5230486.1202640384,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5263419.8195865508,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5306859.5729052182,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5365088.7779988702,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5397847.4112017881,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5428529.5368052572,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5503178.9678843031,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5586577.2906096037,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5612928.0289366078,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5622748.8405606169,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5648252.3684334038,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5681611.6204888755,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5692348.3314576009,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,5708280.0327461604,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5710049.2884690138,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5722971.3316299599,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5743422.4714275934,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5746845.0812179251,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5775766.9270225205,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5791734.2362755369,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5794579.8050113358,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,5808886.4566929583,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,5826407.9721249547,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5868628.3829686828,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,5916138.8908668784,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5921729.6474684319,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5947201.6726439148,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5947201.6726439148,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5953286.372737526,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,5965583.3973248256,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5976824.6720110914,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5991214.5099775791,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,5995954.3406357383,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6009385.2692666929,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6015973.7952579157,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6016504.9230360473,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6064099.4699834194,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6065895.1625048276,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,6069430.7751123225,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,6111452.14456804,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,6129094.970553387,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6135932.708401354,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6145607.0572904581,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6146313.5936541921,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6162384.5972384,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6175132.4727006452,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6182434.0592685351,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6183638.7853321619,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6212269.2728414554,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6215174.1252327925,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6215174.1252327925,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6221054.4774931958,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,6226974.1214377657,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6283208.1073753424,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,6283952.5003645327,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6295979.3137762127,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6344345.4597906191,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6353240.5209203614,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,6353516.24045501,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,6376077.9576437892,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6410316.5146464137,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6416989.0761970468,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6444697.8648301084,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6446093.9071062738,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6474236.1495830445,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6475143.1740735238,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6484133.6539018257,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6508907.5241619032,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6516453.8652587291,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6520091.8309022654,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6533038.4699706156,0.14285714285714285
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6534239.0838175276,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,6536041.7818608172,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,6536184.0334903784,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,6566243.8556134244,0.0
