这才是今生难预料,0,这才是人生难预料，
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,654609.33791308082,0.875
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,1262417.5627081296,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,1397349.0668998752,0.125
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,1747674.1275291273,0.125
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,1747674.1275291273,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,1762669.7486273341,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,2111875.4941258929,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,2288719.4810937704,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,2343363.6724719764,0.125
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,2519999.2139254054,0.125
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,2550260.8247428234,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,2733787.2427375023,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,2824363.1165381754,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,2830375.2730301791,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,2830375.2730301791,0.125
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,2890536.5387098622,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,2952036.5280980347,0.125
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,3010043.2388776261,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,3485153.6632982716,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,3579327.198303632,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,3641878.6059577423,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,3743280.2003025129,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,3749574.4571310431,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3762223.4814293138,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,3822334.0991663951,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,3844032.6414714749,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,3985826.2127387095,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,4200783.3592821602,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,4351246.5230317637,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4646038.3252867758,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4716717.5564517742,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5047290.2485153917,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5575351.3307107175,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,5590386.5079711797,0.125
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5739466.138033526,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,5742052.9580928748,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,5898709.612155416,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6030800.7098698253,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6062134.5144353611,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6066366.3420642521,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6091714.5998347541,0.125
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6141828.6556495391,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6259134.6223826278,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6362612.5117676007,0.0
daxp-ZhiJianTa-WangJiangTing.xml_6,低下头心生计，,6398736.7197632734,0.125
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6420038.6342174364,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6430850.3045427119,0.125
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6496987.8023877013,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6525363.3370063799,0.125
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,6691882.3897332568,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6708330.8950007176,0.125
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,6747526.12330632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,6758365.4766515605,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,6759725.8645883482,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6808930.315616102,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,6818884.3306964636,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6828155.36194441,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6906405.802846347,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,6970261.2812544461,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,7013185.7441638066,0.0
daxp-ErTingDe-SuoLinNang.xml_24,忙把梅香低声叫，,7020427.7427526023,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7045007.8477970678,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7059511.2905795211,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7113720.1020087926,0.125
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,7205084.1677004276,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,7241982.9481878895,0.125
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,7261724.4534607381,0.125
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,7391567.8440138083,0.0
daxp-QiaoLouShang-HuangShanLei.xml_6,忙移步隔花荫留神听定，,7398514.1228690166,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7410269.4932768224,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,7422232.120896914,0.125
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7423862.1094698906,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7436582.2705077808,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7528290.962237034,0.125
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,7541330.4380554538,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,7586115.5639901906,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,7614409.5747314235,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,7628110.4862009054,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7651758.7884762632,0.125
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,7694396.5448248545,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7722962.7807498118,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,7750799.5572454939,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,7780262.5111160148,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,7825008.2916942053,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7840872.2213730356,0.125
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7923004.7431787243,0.125
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,7993826.0790416002,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8027805.5019142712,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8052485.5054610875,0.125
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,8065136.7197427368,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,8091722.5219228202,0.125
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8133521.8982983977,0.125
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,8164136.3036153167,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8169257.6063723052,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,8173573.5246197004,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,8182505.5327021303,0.125
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,8239481.9891210748,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,8256054.1967882207,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,8290480.1927642738,0.125
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8293633.0123976767,0.0
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,8321994.560576845,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,8322483.8759840112,0.0
