不想团圆在今朝,1,不想团圆在今朝。
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,602910.13469273562,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,602910.13469273562,1.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,793092.71207734908,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,860000.48617140285,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,1369846.7469115562,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,1919180.7500321523,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,2462138.0293859299,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,2516303.0567253353,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,2642973.2799109225,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2703621.8696841267,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,2939834.7948559201,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2967105.0017819377,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3005481.9865915086,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3055329.4008413297,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3119520.6195460018,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3212449.2348046517,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3229058.7399020521,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3465592.5488105924,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3480981.2710167393,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3522605.6164165768,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3612800.9930705209,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,3644390.8312241384,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,3677370.0929090893,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,3753377.3517485573,0.0
