残生一线付惊涛,145,残生一线付惊涛。
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1963709.2842446645,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2304968.9796849117,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,2386030.7275249781,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,2425418.03081507,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,2492797.7772990321,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,2643469.9986965288,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2643818.4859035881,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,2877639.2175508728,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,2903024.6587481108,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2938801.4752521235,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3179688.2627909281,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3224911.026023278,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3226356.3465681574,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3263419.8161637969,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3295667.9226776552,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3322466.6569337924,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3392156.7546449373,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3506066.3795197909,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,3556801.0181493405,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,3704915.036861856,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,3728407.5771669424,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3902028.0797940549,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,3952008.4104449409,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3999148.8078406798,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4006888.3107838063,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4107087.7576659592,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4130258.4604393588,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,4234731.5329157738,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4236191.2037485046,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4267725.8606141387,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4300220.6048799269,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4300370.9089644877,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,4315731.291015096,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4322321.7215110976,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4377467.55550717,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4392239.373316614,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4433172.0889091818,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4438112.4283493124,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,4474627.0803186977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4506324.0964597706,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4576164.4016278181,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4630088.2369677555,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4631560.9913827153,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4771380.0517848153,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4805304.9047844252,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,4900171.8946383214,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4910643.1421140796,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5073290.3856438324,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5122885.4007942416,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5184830.3461134946,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5184830.3461134946,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,5223725.8158066235,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5241217.0977772865,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5246107.6329211304,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5338858.6331127882,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5338946.3551182356,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5347318.4996562013,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5399546.4929233557,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5463384.8667121334,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5501181.1913819741,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,5554789.6419379395,0.0
