柳暗花明休啼笑,1,柳暗花明休啼笑，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3363808.7053147503,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,3384246.1523561049,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,3985470.3730235309,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4382326.8727938943,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,4820531.1725379787,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4915573.3057602383,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5379543.5086145215,0.14285714285714285
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,5429906.3719449127,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,5744563.0373126371,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,6021824.4087986303,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,6471623.0892694471,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6488459.0991238793,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,6679155.3682279401,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6792072.6983498633,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6882937.5580484606,0.14285714285714285
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,7064128.6698837196,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,7632752.1329925889,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7755955.2804877413,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7827342.2319144458,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7835951.6080996776,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,7890554.7282502195,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,8072681.2661589226,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8189424.8779836651,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,8211140.6800147584,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8224506.1538036456,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,8252859.1603052039,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8348942.833584222,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,8409188.2952801138,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8416799.0036514848,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8418702.4593734667,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8460461.875175409,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,8617838.4925338943,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8796042.1367394328,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,8834395.8466428872,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,8993138.6277908366,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,9029900.1955322642,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9164011.9107629247,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,9172271.1711106896,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,9251912.1701636016,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,9364693.5440103989,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,9398008.0066899545,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9474734.1518266648,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9523308.3104887605,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,9704051.1142969318,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,9886725.6535401791,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9901988.3402799871,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,9950247.8360475656,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9985687.0332829189,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,9998857.5228085183,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,10183424.656140462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,10195097.396507489,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,10208710.097237652,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,10209629.139051182,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,10271098.614143351,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,10431164.723521587,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,10505166.690953359,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,10508201.657030374,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,10561478.051888702,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,10640267.91696414,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,10642783.033460643,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,10686295.39150103,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,10779398.696770038,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,10779398.696770038,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,10830379.883953875,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,10906495.55661862,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,10945022.411676925,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,10988342.886547232,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,11173866.098120099,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,11497395.503842415,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,11710249.362977991,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,12039181.649027361,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,12063765.318165306,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,12101292.192844411,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,12191571.513380112,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,12299081.357218979,0.2857142857142857
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,12299384.176645968,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,12388622.239939164,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,12421400.876923408,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,12431115.15801931,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,12480966.813067019,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,12549559.671768656,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,12551393.077972705,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,12563986.649128539,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,12654642.183163173,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,12692055.842259543,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,12917476.117763571,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,12971814.933316991,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,12991169.916553725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,13000770.530785326,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,13135672.691817779,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,13208761.297008073,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,13279460.690222086,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,13301288.276583808,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,13384095.229200231,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,13468502.671502575,0.0
