善果心花可自豪,0,善果心花可自豪。
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,445455.64081356645,1.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,1776682.9632744957,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2027389.743569908,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,2344959.360886652,0.2857142857142857
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,2395387.9700208507,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,2425834.920896084,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2617119.5588585972,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,2668009.1268272186,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,2671098.7487426307,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2671991.8812642382,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,2703406.8686121441,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,2853929.4226818308,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,2931897.06044883,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,2931897.06044883,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2937557.0699580219,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3034273.2649928452,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,3056019.6294524344,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3139076.4548995676,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3338720.128308584,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,3362456.9380732724,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3381183.8538904483,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3423693.74081844,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,3432305.3856697003,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,3476748.0034946073,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,3493295.2868426302,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,3687637.7372918869,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3729627.1368674426,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3951891.553224199,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,3971417.637993481,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,3975479.3444751808,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3987971.5031728717,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4000219.551744584,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4041343.539448062,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,4046518.6818955145,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4167957.6272286442,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,4198877.69992078,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4209657.12858635,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4224117.0312501611,0.0
