种富得富如此报,7,种福得福如此报，
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,1455141.8659965766,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,1777719.1329046777,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,1919831.0857510723,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,2584398.1256047352,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2716802.2396709831,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,3257590.050748195,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3258202.182049653,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,3343737.3146165395,0.7142857142857143
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3630473.4302731082,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3783892.1015190631,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3823845.3415349983,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,4167196.204124182,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,4491915.0987109998,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4536020.0763219949,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,4575029.2680821037,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4591758.1505262777,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,4603194.017540277,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,4685561.7197107244,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4740386.0721178278,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4746626.4936633194,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4774159.1442364715,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4961691.2364536403,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4967023.9590508742,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5296227.6848879894,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,5321791.1487137983,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,5365462.5928717237,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,5527891.4046676774,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5653142.8076846758,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,5811744.3848989289,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5991994.8864469277,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6003033.4661417063,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6052854.1407010891,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6077044.422916214,0.0
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,6194311.9057793496,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,6239703.0727519803,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,6245160.5301040215,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6249903.0320571093,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,6277371.6751763336,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6310551.92510942,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,6371793.7263443051,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,6419298.8090236597,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6522401.7202752866,0.0
daeh-TanHongYan-HuoXiaoYu.xml_5,隔着窗儿点滴不休。,6656815.9964089878,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6688720.0106130885,0.0
daxp-QiaoLouShang-HuangShanLei.xml_4,到三更真个是月明人静，,6762674.1888639154,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6797961.4291352341,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6850898.717378716,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,6879236.5600844873,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,6912858.8033262361,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6921753.188343958,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,6939897.6110975947,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6991219.0468947701,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,7069291.5855567846,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,7090042.7384524727,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7114391.1808847347,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7135371.9087439338,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7233050.9768071398,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7266413.4839871014,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7321082.0126514323,0.0
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,7331031.2225298304,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,7361621.7097300971,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,7367969.0712040626,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7378700.1430463046,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7385867.1700283093,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7412780.0501487842,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,7412799.626111283,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,7426837.744425728,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7459288.3418210912,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,7467518.5487083839,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7505001.5528948857,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7561906.2324960846,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7571461.892566232,0.14285714285714285
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7642510.6338561736,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,7672892.1313935937,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,7677429.9651785195,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7729524.7974576959,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7745654.9533694293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7767689.810548896,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,7781850.3065194637,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7785047.4076511171,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,7815591.4707890004,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7828931.8378037345,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7832308.4633368701,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7881542.9202389773,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,7965985.9469969608,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,7985583.7064516097,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,8004074.5527173281,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,8033723.6710194731,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8044526.7306298353,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,8060353.852306067,0.0
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,8066535.6155631747,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,8083547.0554513931,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,8085631.6885877857,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8095675.3762054006,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8156012.4864620743,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8160428.1642825007,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8211856.6051777415,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8217590.4883486358,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8217590.4883486358,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8245121.285984044,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,8266447.0205209684,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8297531.7174551534,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8310861.604364044,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,8315633.5190435499,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,8331976.5701203709,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,8333867.6353818635,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8335456.63678886,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,8352045.2479134593,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,8375006.0033681886,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,8381181.9848742187,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8415114.1178181432,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8420548.7373007648,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,8449450.6612776387,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,8452158.3164217509,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8526451.8794551585,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8559397.3083447386,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,8575805.057671411,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8655648.7573947981,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,8661286.0196379647,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8695013.594099598,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8701295.4970662035,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8786710.8597775996,0.0
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,8793522.9255355634,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,8858633.0539561361,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,8877529.1824657265,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,8886989.3154044058,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,8898894.6371782385,0.0
daxp-ChunQiuTing-SuoLinNang.xml_26,忙把梅香低声儿叫，,9156242.7949194945,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,9162534.2772438899,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,9165648.4232516754,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,9216260.0534667801,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,9229585.3876266386,0.42857142857142855
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,9234306.0279675573,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,9245952.5540646072,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,9246214.3769043982,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9247954.3275474645,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,9252470.7081440575,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9259277.5882421974,0.0
