芳心寂寞有谁怜,0,芳心寂寞有谁怜，
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,3704817.4452595245,1.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,3819966.8760540392,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4108090.0534281172,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4141042.1966271671,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4294377.9039116511,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,4379805.8315922432,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,4460953.2390813492,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4478866.919290388,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4491012.994141344,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4547454.4924115418,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,4633301.8911329824,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,4724682.004009014,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4727766.2042152155,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4861560.8394951131,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4911219.3557551475,0.2857142857142857
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4984550.589951627,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4989516.3098227242,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,4998999.2425373094,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5029139.9860067554,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5063769.1130138095,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5077698.9408440944,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5094544.7595211742,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5098773.3089606836,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5110556.5541997887,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5112901.7980567943,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5142798.1109232046,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5160891.6418789821,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5234295.2450993964,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5243694.1770142429,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,5286826.0429883199,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5292437.56744802,0.14285714285714285
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,5312624.5165727483,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5313465.4296839386,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5374580.0998900281,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5398809.9452042803,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5405174.4740085499,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5420190.6782591036,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5457445.477976718,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5461568.979163615,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5465439.0810630592,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,5509234.1045156932,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,5519500.2593820691,0.14285714285714285
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,5540851.6083126562,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5553099.436451599,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5566433.2697396101,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,5591642.1924863718,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,5603745.6555133751,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5611052.380649413,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5633006.8088164069,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5646843.3727862453,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5651883.9002569895,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5669564.5684978236,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,5699861.2042769687,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5720853.7243365245,0.0
