孀居愁苦泪洗面,2,孀居愁苦泪洗面，
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,1687251.9182921287,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,1687251.9182921287,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,1939494.3778236178,1.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,2575884.2056336296,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,2767153.0223867181,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,3036846.6200350844,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,3064539.9944777051,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,3393957.1271746969,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,3643568.6885641925,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,3867273.1752735949,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,4145630.88186447,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,4217771.477409062,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4233665.9580323054,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,4237010.3747574389,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,4272291.7734537711,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4324011.0571047338,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,4325871.9121570988,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,4357331.7055067848,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,4359525.9465292981,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,4409922.0222635642,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4507828.4413754661,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4507828.4413754661,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4565052.303465019,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,4678587.0113392714,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4743722.0833035111,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4799472.9708721889,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4810048.7827410186,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4832662.623092101,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4855149.4370344318,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,4904351.1864863681,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,4961721.3203499615,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,4984264.1185575351,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4997423.5525973737,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5025270.6063721245,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5038439.7979988754,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,5109391.353636926,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5153251.7285277182,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,5171522.5113977268,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5185092.7334846705,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5208540.7035760544,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5224706.8153082849,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5235593.9667495061,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5235593.9667495061,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5261700.8477456709,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5263460.5927385008,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5264016.6883641798,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,5290288.9933680538,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5420737.4437435446,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5460505.30787264,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,5502889.2850176329,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,5536168.4686618997,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,5576398.1728837239,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5586054.5344979241,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5597157.7404091265,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,5603612.843777243,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5628091.652180016,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5631157.5398446843,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5654098.6203203565,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5667076.4923742376,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,5730250.394316393,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5734796.9722848963,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5744249.2987740431,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5771092.2141600754,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5799759.9008793384,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5811662.3415910322,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,5829660.5301359929,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5833731.5565886032,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5833895.4766222881,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5838059.1552410359,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,5910276.111367804,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5926506.7744991276,0.0
