只见他一封书信握手里,0,只见他一封书信握手里，
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,2948072.0441728206,1.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,3857224.2007798827,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4154646.9912496326,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4214316.3420841806,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,4229564.2243504152,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4482988.309848004,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4568826.5830164887,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4575765.4654017156,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,4630724.9011071976,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4786528.2539147036,0.1
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4820339.2718168991,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4862738.0068974067,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4916313.3841019236,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4918267.3751849113,0.2
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,4929359.7732597319,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4953981.1392483041,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,5126802.9849597979,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,5168507.088239057,0.1
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5207967.0942260623,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5213185.7055880474,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5355255.8791469336,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5434509.0821628757,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5453543.981523159,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5514575.3341969335,0.1
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,5516682.2969093109,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,5539267.3948044628,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5548169.7003890118,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5581500.1828576839,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5636809.2002233639,0.1
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5652548.1204114063,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5660350.7563876826,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5693042.6382108852,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5757642.4371611066,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5769167.8734452957,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5780218.7933716886,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5830091.1518479651,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5849285.4906456228,0.1
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,5852380.742115126,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,5910908.8518134765,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5912611.4804965388,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,5962682.5770433601,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,5984160.089530495,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5985183.7479436621,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,5996930.2235168125,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6015147.8032666165,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6044585.2302769059,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6064938.1568793394,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6148326.0204763748,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6176107.2410878912,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,6187554.1697942894,0.1
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6200657.0584150227,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,6212727.160346386,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6223496.7862636177,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6226853.0627264148,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6239820.7232183367,0.1
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6254193.3041433943,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6258249.8289526198,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6276977.3654214256,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6294484.0910467291,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,6302919.90712089,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6333029.5229112403,0.1
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,6340576.2473253608,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,6342290.0471077953,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,6354451.827879536,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,6373869.4313260075,0.1
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,6385051.5311555108,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6397935.2260318305,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6428856.6930830656,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,6439160.8977397764,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,6512306.6025288096,0.1
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6515455.6521976758,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,6537769.5471833823,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6544430.0874613011,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6546043.039252378,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,6556103.0616405578,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,6634830.977382604,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6640737.7172791008,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6674605.3349499376,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6676197.9879925428,0.1
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,6691181.9619375998,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,6729425.0104227085,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,6736902.7269026088,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,6736902.7269026088,0.1
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6740720.5407737056,0.2
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6743237.4191567479,0.0
