何人来把书信寄,2,何人来把书信寄？
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,2735438.7906404994,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,2945124.0262904284,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,3103824.1759043694,1.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3226397.9475838481,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,3315117.6352750016,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,4206115.7466044538,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,4441844.8468438042,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4669319.1870622262,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4994858.3381002052,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,5020317.209120444,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5046900.168849336,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5055292.4689771906,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,5180326.5232051164,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5416745.9479212714,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,5438612.3740197513,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5535992.5259104678,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5549258.9631490335,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5685403.209771405,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,5842168.9299324276,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,5842168.9299324276,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5854320.6269117137,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,6047991.4319686852,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6138222.9454159951,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6290729.2592534712,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6348605.1929795165,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,6385779.984255081,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6458524.6961001353,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,6515653.2293601185,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,6672201.4814086016,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,6692536.5004767431,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,6728542.6327011799,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6761789.3445613692,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,6784696.7572202403,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,6859949.063567752,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7009789.2482177494,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7021587.5117544169,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,7038093.4054931765,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7102069.3704259107,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7164672.7473609094,0.2857142857142857
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,7167783.0253375638,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,7168558.2472137194,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,7172607.4857129008,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7292669.9976172224,0.14285714285714285
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,7357497.420894905,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,7393484.2622144939,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7509839.6670598499,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,7522327.4373333761,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7532004.5115819359,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7535462.1602842826,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7561549.9385920893,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,7566898.6746863713,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7568519.5938057946,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7575702.9502822636,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,7659004.1067782138,0.14285714285714285
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7715777.5167500488,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7739992.2577473,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7756279.8454112699,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,7796461.6598740285,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7802886.1465314925,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7804379.281791064,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,7811852.4611442881,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7825830.5077446895,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7854294.4410221567,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,7883267.9939364083,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7889396.7216520449,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,7933052.6858689673,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7951966.8915240439,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,7977850.9775290862,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,8016547.0356361708,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8081283.1830489291,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8099057.6161885522,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,8110414.9145565899,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,8127967.6921202699,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8133379.3512535216,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,8163417.5054775598,0.14285714285714285
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,8248925.4594298713,0.0
