害得儿夫犯焦急,0,害得儿夫犯焦急；
daxp-ZhiJianTa-WangJiangTing.xml_3,害得儿夫犯焦急；,2669510.0087912921,1.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3457629.2401607442,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3716761.7299889359,0.14285714285714285
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3718120.2951725898,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,3779000.3739319188,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4006579.0764905196,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,4311911.3893875144,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4565042.0406958135,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,4565042.0406958135,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,4764839.631704635,0.14285714285714285
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,4908382.5055504534,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,5015773.300851468,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,5298811.3590571182,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5375891.5917144939,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5454045.2676573964,0.0
daxp-GuanShiYin-TianNvSanHua.xml_5,好似我散天花就纷落十方；,5455525.7294604499,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,5518113.9020119691,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5738926.8441707026,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,5753803.5243335227,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5857938.3046225775,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5866775.3988031009,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5955426.5847309474,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5961795.7194505045,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5998661.4462440638,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6042024.5617607506,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6072478.9598547835,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6095380.9598266343,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,6122384.320919578,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6137474.9593180958,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,6179499.5783771193,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6261049.6652774448,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,6291406.4228299875,0.0
