隐情不敢实告妻,0,隐情不敢实告妻。
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,2435041.9838450924,1.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4011804.5118564283,0.14285714285714285
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4097164.7127173967,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4186004.4701642375,0.0
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,4254758.5819008723,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4271723.9208258735,0.14285714285714285
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4314855.8125298638,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,4318086.0711974176,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,4364612.1332272179,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4393578.335408519,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,4424521.6970163565,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,4438760.1934770644,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,4438804.2048361162,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4584181.5259996355,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,4617982.7111490658,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4767284.9159228103,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,4775100.349873065,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4821886.2023892691,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4825039.1755339988,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,4862757.2488857079,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,4906512.6779393209,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,4973608.2333938973,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5079752.5608206214,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5138558.2932352535,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,5159692.0912289498,0.14285714285714285
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5174984.8471337352,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,5249563.4181701932,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,5301759.1081962297,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5372925.8009930067,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,5388955.0810366459,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5421163.8941663448,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5427313.5523913838,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5459672.6003468242,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5480892.6517473273,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5489504.4847923443,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5497492.7111446932,0.14285714285714285
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,5514339.2879875153,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5545597.6042049713,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5555774.6672087545,0.0
daxp-WoDeNiang-XinAnYi.xml_3,却原来母亲到儿未知情。,5583919.5602755649,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5604942.4344100058,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5614690.1201038556,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,5620019.9279435165,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,5656839.2318860749,0.14285714285714285
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5672874.4689543927,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5684174.499973611,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,5709715.3635789091,0.14285714285714285
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,5763196.2341452539,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,5763609.5871629389,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,5787090.3634462571,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,5819019.585350438,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,5822208.7427244168,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5822638.9788658526,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5824227.3029103596,0.2857142857142857
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5840129.2562557133,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5851026.6622023303,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5870304.163218149,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5873513.4525781879,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5877274.2140989071,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,5877639.2683409378,0.0
