自那日与六郎阵前相见,0,自那日与六郎阵前相见，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,1969037.9835879542,1.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6462144.6410525162,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,6482315.780916444,0.8
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6964015.3691056715,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7499475.8390804445,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7548232.4171587974,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7585022.433045161,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,7597652.5504039824,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7716279.3337153001,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7741967.7493022867,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7823472.0625552181,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7916135.2199825682,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,8044502.765031863,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,8046422.7835141215,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,8335103.4637042964,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,8360267.0526951039,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,8441895.257939538,0.1
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,8445524.8712290805,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8458186.372217223,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,8459923.6570435259,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,8463947.1680213343,0.1
daxp-GuanShiYin-TianNvSanHua.xml_2,菩提树薝卜花千枝掩映，,8522701.97872293,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8558905.9824909307,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,8775475.4061926026,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,8795608.8731866721,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,8825905.423525244,0.1
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8843776.8459164854,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9007990.9970628433,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9158488.2466109544,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,9189164.4027360827,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,9194944.7093705833,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9275115.4484990537,0.1
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,9403091.9198241215,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,9442119.1065037213,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9583973.5363711715,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,9634029.410599282,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,9644112.2958376668,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,9645539.8123755977,0.1
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,9706902.776435215,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9770529.8484474365,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,9823102.3336506337,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,9842695.3605821449,0.1
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9878519.0436207969,0.1
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,9918474.3790357783,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,9968619.3274970017,0.0
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,10112336.695752099,0.1
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,10123515.253601084,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,10126117.311601555,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,10167885.030147456,0.2
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,10182324.458861351,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10241024.838011883,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,10283519.739137067,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,10285404.452511912,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,10314038.222009817,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,10373186.684623362,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,10395439.498755975,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,10423255.085465921,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,10426588.636945242,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,10427110.912262669,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,10442745.17163715,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,10450643.960221006,0.1
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,10462770.180069348,0.1
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,10536742.51877654,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,10574402.626068452,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,10723197.220392428,0.1
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,10817990.656701421,0.1
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,10822055.283985954,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,10832510.349726522,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,10850503.668821646,0.1
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,10919239.514021557,0.1
daeh-ZiNaRi-ErJinGong.xml_6,徐小姐把守在宫门口，,10996505.670567008,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,11018801.879475212,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,11052664.830788162,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,11110095.534866001,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,11122099.919056356,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,11138085.924036758,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,11249831.774682488,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,11269417.603485318,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11277219.222154485,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,11314244.633857559,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,11335902.069319736,0.2
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,11338908.970872996,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,11371377.954437505,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,11372424.043505544,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,11408735.802655015,0.3
