但愿得令公令婆别无异见,2,但愿得令公令婆别无异见，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,1083578.9823038583,0.9090909090909091
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,2645590.6283220514,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,3833242.6748048854,1.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4473606.5468972176,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,4594952.9040098088,0.2727272727272727
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4795840.4074609987,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4834634.8509258805,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,4871723.8080781335,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,4877610.0580374133,0.09090909090909091
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,4954069.3764801268,0.09090909090909091
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4960642.6289285095,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5010783.209283215,0.18181818181818182
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5034920.1594389686,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,5167940.1050180187,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5187779.4690899523,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5193590.1920782039,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5268041.6746707307,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,5277115.7032919843,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,5277266.6928463085,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5310500.1047878135,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,5327390.0113943964,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5383044.5254279207,0.09090909090909091
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5387220.5961629711,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5393655.0125262365,0.09090909090909091
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5412186.0204865504,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5415504.9171948396,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,5471537.998359194,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5484117.6555190897,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5509018.3744534729,0.0
