但愿得状元郎月老引线,0,但愿得状元媒月老引线，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,2183442.2760028616,0.9
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,2583259.1549317143,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,2665150.6729402537,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,2821277.0707074003,0.0
daxp-ZheCaiShi-SuoLinNang.xml_3,残生一线付惊涛。,3359265.5122853345,0.1
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,3396912.5979892267,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,3527267.6694492646,0.3
sdxp-SuLongWei-WuJiaPo.xml_26,你我同把相府进，,3530154.9229889731,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,3621107.46169273,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,3636653.1236424432,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,3881506.5929162079,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,3957768.446600066,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,4110007.524891512,0.9
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,4149448.8744051997,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,4185566.5570703615,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4216474.9295990327,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,4511808.1210599672,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4516551.2131260391,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,4516908.9983549006,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,4716856.2244617604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4730940.0253920518,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,4934696.9604125507,0.3
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5063789.3150127344,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5089595.71836429,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5152487.5095810732,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5217664.4976646379,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5252271.8989005862,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5324910.7101256754,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5325001.5796235241,0.0
daxp-JiaoZhangSheng-HongNiang.xml_0,叫张生隐藏在棋盘之下，,5544450.9473654041,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5635988.076030721,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,5693145.7007195121,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,5772085.8980092537,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5812470.7905556848,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5872940.176577135,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5956721.3479904924,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,6101078.2734196316,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,6173394.0052262601,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6255026.022149452,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6284043.573464076,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6290381.5878657801,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6297076.3087790748,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6349433.5673194965,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6357914.0306395106,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6409281.5274118166,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6435937.3266366422,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6454688.4276740076,0.1
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,6462846.689420348,0.1
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,6521680.0774058327,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,6535720.0526688537,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6558495.0304061314,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6727870.8184425374,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,6809782.1518969815,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,6821902.623482462,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,6876608.9643091224,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6958917.6440637596,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6969533.7893562391,0.1
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7008623.4922860488,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,7213675.788881734,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,7235313.3550012009,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7349708.4126669299,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7401183.9943716805,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7403487.5105252443,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,7421206.922905229,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7440280.6035371693,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7440280.6035371693,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7442414.6112744603,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,7496450.993625585,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7534090.0845349347,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,7623630.063633007,0.2
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,7625518.3307342827,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7744565.6430871384,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,7771790.8774671732,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7782416.16800211,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7814738.4187606825,0.0
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,7834728.4901206298,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7925586.8374047801,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7980866.7927606944,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,8000336.8496517781,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8005349.2816504091,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8022306.6708975527,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,8120977.9068690985,0.1
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,8228255.3255951721,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,8229718.5275490014,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8243507.0047743218,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,8296694.6737335045,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8318117.1789576923,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,8352622.1306105042,0.2
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8362248.6959288558,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8401969.7939309385,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,8478985.361303227,0.1
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8533945.7781887483,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8602075.0774208382,0.1
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8641638.1674524732,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8698002.0725046564,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,8705416.6853733435,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,8723354.3716768213,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8744056.3727034591,0.0
