但愿得八主贤王从中周旋，早成美眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山,1,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_13,但愿得八主贤王从中周旋早成美眷、扫狼烟叫那胡儿不敢进犯、保叔王锦锈江山。,1940060.8194746315,0.8888888888888888
daeh-ZiNaRi-ZhuangYuanMei-1.xml_13,但愿得八主贤王从中周旋，早成姻眷，扫狼烟，叫那胡儿不敢进犯保叔王锦绣江山。,2501662.612043011,0.9722222222222222
daeh-ZiNaRi-ErJinGong.xml_13,我只得怀抱太子两泪汪汪口口声声哭的是先王！,5938383.3990717111,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,6081348.7890313845,0.08333333333333333
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,6174904.8058282202,0.05555555555555555
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,6200686.0667211777,0.05555555555555555
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,6229505.660869034,0.08333333333333333
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6261279.9196337461,0.05555555555555555
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,6348363.593546303,0.027777777777777776
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,6532522.664918337,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,6565230.1800971711,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6633331.8983678836,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,6790316.7592977369,0.027777777777777776
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6907232.3392781364,0.027777777777777776
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,7063555.7737120017,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,7341662.2210278464,0.027777777777777776
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,7359304.9226154527,0.08333333333333333
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,7379259.6720881499,0.027777777777777776
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7397420.6326252166,0.027777777777777776
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,7521258.1381331515,0.027777777777777776
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,7610504.4486909593,0.08333333333333333
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,7613876.4833966913,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7645296.3040494006,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,7664026.6673069932,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,7690780.9426314663,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,7792710.5141332103,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,7792710.5141332103,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7806247.3113371469,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7864897.4966033828,0.08333333333333333
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7865756.3784680907,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8023646.8552333582,0.08333333333333333
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,8033809.8476560153,0.08333333333333333
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,8052710.5750281448,0.027777777777777776
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,8092824.3098674966,0.027777777777777776
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,8141602.8625038266,0.1111111111111111
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,8223180.1022308813,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,8279426.056168464,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,8281898.1084287046,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8284996.5709730759,0.08333333333333333
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,8289622.4044358153,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8368827.5586493136,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,8370459.5351930214,0.027777777777777776
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8405363.024010554,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8430864.1905939337,0.027777777777777776
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,8458656.5608915444,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8553174.8775585424,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,8590978.3135829661,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,8593295.5596238412,0.08333333333333333
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,8631597.789341392,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,8631597.789341392,0.027777777777777776
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8653389.5307649579,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8663268.2622122671,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,8686370.2164820116,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8715420.1961532757,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,8716184.8908751179,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8729131.5460579023,0.08333333333333333
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,8753040.1777187288,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,8805509.8618204705,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8822383.9394122828,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,8822725.1748041995,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,8833615.5039877258,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,8841110.7358948085,0.08333333333333333
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,8896685.1954450384,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,8906203.4134378452,0.08333333333333333
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,8906233.9427668769,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,8968813.3515602723,0.08333333333333333
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8988003.3197142053,0.08333333333333333
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,9017187.3477893546,0.08333333333333333
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,9039797.9271524809,0.08333333333333333
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9042178.2049074937,0.027777777777777776
