愿天下有情人都成姻眷,0,愿天下有情人都成姻眷，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,2024143.0024005573,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,3264649.4967576992,1.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,3984685.3978293356,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,4166175.7411844535,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4489650.9034570754,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4553536.0011149505,0.1
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,4633430.5070338408,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,4870601.1915174061,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4905549.7507110229,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,5078994.4065442663,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,5151558.1732505513,0.1
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,5166408.687252867,0.1
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,5175907.5937966388,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5282918.1952704098,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,5286423.4387351051,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5352620.4694862636,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5401683.9623071998,0.1
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,5405261.6972559271,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5454274.4394994257,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,5499566.325660998,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5611380.6851688288,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5687000.9209805289,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5689274.6331883632,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5694328.7553921295,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5714072.787066278,0.1
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,5731381.516719128,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5755523.6087323623,0.3
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,5791291.0554513065,0.1
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,5856497.074428698,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5866575.1665600194,0.1
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,5875037.9290858749,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5885440.46389056,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,5904122.3360322705,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5909244.7575253537,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5935160.3878678279,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,5939601.5845438167,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,5941331.6778291082,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,5953167.9217023654,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,5957567.1959183728,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,6122106.3835443603,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_12,但愿得状元媒月老引线，,6149184.2481006486,0.1
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,6309335.7899566488,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6341129.0661662444,0.1
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6350355.9415643085,0.2
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,6370044.3582835486,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6426417.1933952095,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6436856.3101491211,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,6496395.586541296,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6508331.4246955384,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6530720.6823000414,0.1
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6562640.3197960909,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6584070.8128241729,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6615092.848340855,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6643215.2983487807,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6671385.1118892692,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6689540.1472692732,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6697259.5635736417,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,6719319.0369811878,0.1
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6869811.8035448957,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6886217.0335512124,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,6893648.8888023328,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6897084.0163438795,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6910041.1900991453,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,6910586.6323565077,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6943257.2332713306,0.2
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6953119.0065631531,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,7020090.9639564324,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,7060932.01010314,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7084729.817256541,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,7168757.5803053007,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7175562.7164096339,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,7196021.0106750662,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7197587.7814748986,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,7206851.6711980067,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7261709.024634134,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7287693.6878131405,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7338284.363585175,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7385683.5431954162,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7439283.8953477703,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,7526276.0296262074,0.2
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7532175.0581751456,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7550853.5435197018,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,7566793.703119386,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,7574764.7356716376,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,7593894.9013495175,0.1
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,7614085.6529924981,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,7621085.5546789495,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,7646253.1638895366,0.1
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,7655905.9109699149,0.1
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7717973.8093173122,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7750070.0674559837,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,7781919.8795295348,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7784264.1419708645,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,7796515.3548713354,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7835592.6990370899,0.1
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7862294.6252617333,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7883687.2903630212,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,7908718.789810393,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,7909393.6327646812,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7988289.4099521823,0.3
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,7991853.1561663253,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8002648.3906223699,0.1
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,8004799.083531145,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,8029619.7542256434,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8035105.1706304504,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8039643.0980564952,0.2
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,8052971.403010984,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,8081954.6750162607,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,8106131.7862907518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_0,自那日与六郎阵前相见，,8179514.7365997443,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_2,把一个皇太子逼死殿下，,8197198.7743686298,0.1
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,8264454.0304157818,0.2
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,8300974.2946967445,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,8363322.7903904971,0.1
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,8381398.5963526079,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,8397033.4845674708,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,8399456.7214285284,0.0
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,8441713.3580215871,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8509074.2863826379,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8541769.4112134632,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,8546210.0778013282,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,8593029.2729068752,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,8608395.6749809235,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8622452.4231935237,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,8687940.4568876028,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8750282.9693760853,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8785147.6764889453,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,8792974.351648571,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,8794620.9622686785,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,8794810.8107936531,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,8861298.8508293964,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,8861670.9771327619,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,8889917.7846599463,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8958565.3084242605,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,8988689.6765162908,0.1
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,9011129.882444093,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,9021310.4526481219,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,9036660.8718211241,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,9040375.4610715117,0.0
daxp-ZhiJianTa-WangJiangTing.xml_1,长吁短叹语声低。,9055176.9009081572,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,9150255.0063649304,0.1
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,9163341.6549816001,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,9165337.0646237601,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,9165337.0646237601,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,9175328.6421696786,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9205798.7692437265,0.0
