在潼台被贼擒性命好险,0,在潼台被贼擒性命好险，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,1571089.2521939175,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2007631.109015574,0.9
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3302683.0689821863,0.0
daxp-ZheCaiShi-SuoLinNang.xml_6,种福得福如此报，,3963777.3700181553,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4173700.4128569122,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,4269248.7560621779,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4363640.4167828122,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4502655.8093538806,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,4519862.9370576451,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4530279.1697187172,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4533413.8675636435,0.1
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4560940.4741917904,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4605779.3899727212,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4609722.6854853304,0.0
daxp-ZheCaiShi-SuoLinNang.xml_2,回首繁华如梦渺，,4706886.2703445964,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4815483.5349216945,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4899308.9185983334,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,4909150.8690853603,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,4925832.6640196191,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4928723.8057484115,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5003456.6061120685,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5059394.1615212364,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5123585.0752943056,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5199618.9764615772,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,5221923.5455578361,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5236333.882013429,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5381723.9965012055,0.0
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5440910.403461962,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5488883.5200056378,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,5490752.0155006824,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5514015.405660809,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5629786.4510464631,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5806075.9999806611,0.1
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5823908.6796791069,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6098394.1320167352,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6113450.5277999882,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6250917.4647805113,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6316669.4659380121,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,6379723.197178619,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6438150.2065576501,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,6462604.6678878516,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6484192.1447013617,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6492655.1537861023,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,6570914.8360744566,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6581212.8566080201,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6610773.6798180463,0.0
daxp-JiaoZhangSheng-HongNiang.xml_4,这也算是一段风流佳话，,6631385.4450136181,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6648210.130280491,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,6670117.8704920728,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6714500.3053111862,0.1
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,6714500.3053111862,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6733109.1428262535,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,6797408.442738439,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6800396.0514231138,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,6967454.4226150764,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,7009528.5525536202,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,7033214.7237323858,0.1
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7037422.5304013807,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,7101737.6764477594,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,7106862.9590924168,0.0
daeh-SunShangXiang-BieHuangGong.xml_9,叹一声不由人珠泪涟涟。,7124020.7594074029,0.0
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,7167185.4563515102,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7187778.2309310474,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,7191575.9178644978,0.0
daeh-SunShangXiang-BieHuangGong.xml_3,留下了孙仲谋执掌江南。,7329410.2140001338,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7385070.4910846082,0.0
daxp-ZhiJianTa-WangJiangTing.xml_2,何人来把书信寄？,7396697.28468074,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,7437038.9199178591,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,7502791.4627334839,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,7509967.2927609645,0.1
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,7552017.4815775538,0.0
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,7586886.2254395653,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7597739.4809924662,0.0
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,7619735.1643580515,0.0
daeh-ZuoChunGui-XiShi.xml_3,夜不眠朝慵起又向谁言。,7624181.03736059,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,7761515.1351648234,0.1
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,7824013.3875895217,0.1
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7853602.9309807355,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,7864284.3727988275,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,7892121.022184683,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,7892121.022184683,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,7895855.1670814641,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7911679.6088308133,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,8005779.1054303581,0.0
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,8007768.4178014379,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8040399.8328891462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,8043478.2508045817,0.1
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8049523.3461151179,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,8132449.3792337449,0.1
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,8138643.7933737254,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,8144675.1967992466,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,8179667.7999553084,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8205088.7868930968,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,8240191.9050620468,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,8258162.4103901563,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,8280617.2467093235,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,8281111.647693404,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,8296495.3464270495,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,8308566.079005749,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,8392904.4593351427,0.1
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,8419902.230089251,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,8479746.6591296308,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,8536208.2191354949,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,8565580.7343496103,0.0
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8603909.8553968016,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,8611324.2745490912,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,8615044.3798297029,0.1
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,8661256.5398350544,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8666626.9424131569,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,8689409.8110027853,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,8727882.424546713,0.1
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,8736953.8521257099,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,8774392.6163327862,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,8785156.9719687924,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,8801139.045143107,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8816173.9882189147,0.2
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,8822522.1918276176,0.0
daxp-JiaoZhangSheng-HongNiang.xml_2,放大胆忍气吞声休害怕，,8839875.8361421395,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8846067.4441679344,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,8853404.9553491604,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,8883782.3196899202,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9000958.8851322606,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,9021085.0380716082,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,9098687.277084019,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,9098748.605040485,0.1
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,9118111.608135445,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,9129178.9543304201,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,9165372.3660902213,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,9178627.1615763102,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9181311.7734712102,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,9211276.1714182924,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9216098.687768979,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9240121.011626374,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,9259566.1291845888,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,9267253.813167328,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,9319482.214721147,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,9377888.8792478889,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,9378465.1513088122,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,9398253.1702796593,0.1
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,9445079.5111403745,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,9464471.5918132886,0.0
daeh-CanQiQi-WuLongZuo.xml_3,担几肩头晕转体若筛糠。,9475768.9841188211,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9506611.0365708545,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,9520067.8895750605,0.1
daxp-LaoDieDie-YuZhouFeng.xml_0,老爹爹发恩德将本修上，,9520450.418333672,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,9522927.9623681065,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,9525207.635235779,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,9526018.0376050938,0.1
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,9531257.3578561191,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,9582056.260956021,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,9601791.0210542791,0.0
daxp-ChunQiuTing-SuoLinNang.xml_4,吉日良辰当欢笑，,9633315.2496522944,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9637194.7837566864,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,9649556.5129063353,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,9656723.1618018448,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,9679477.6498091873,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,9710428.0492609758,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,9730341.6935081575,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,9756544.3673349749,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,9772299.4716210105,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,9864626.1132224984,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,9869075.710960526,0.1
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,9870731.1578869075,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,9909172.4137911871,0.0
