这桩事闷得我柔肠百转,0,这桩事闷得我柔肠百转，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,3593257.7344516297,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,3748518.3218205697,1.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,7041586.5254953783,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,7364163.0713453759,0.1
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,8033313.6477434607,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,8151464.1742794812,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,8375479.3288734993,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,8535923.3170433976,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8602829.5153766107,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,8738917.8135973681,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,8952708.0469792075,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,8988576.4768198356,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,9055743.6621175352,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,9088818.4659907836,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,9237355.2836344242,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,9503954.1316946764,0.1
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,9616219.4734993055,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,9639438.5096275136,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,9684657.6436375733,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,9797552.0321162585,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,9844750.4125917628,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,9855952.3143791873,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,9874047.2722130828,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,9889513.8818389326,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,9892876.1685710885,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,9898129.5907161664,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,9906643.6448636409,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,9931536.2330709565,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,9964987.1627676655,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,9992680.9141887929,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,10035595.722005202,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,10054542.465551926,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,10086559.912369747,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,10332438.675205717,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,10431955.227071313,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,10489699.217686992,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,10513245.391625788,0.1
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,10555118.462618945,0.1
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,10607434.287409469,0.1
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,10630293.50692912,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,10696534.690150479,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,10730258.095183291,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,10763782.729659677,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,10802654.696906298,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,10823688.128556624,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,10858502.145311985,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,10912694.9915768,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,10948562.706870733,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,10999266.568237236,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,11007259.868189812,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,11127899.435999366,0.1
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,11127899.435999366,0.1
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,11142866.165183084,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,11163576.976783233,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,11166863.597821016,0.1
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,11181835.934262386,0.1
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,11212721.25198284,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,11220720.106031412,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,11226029.826685272,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,11254498.512012135,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,11255589.308610477,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,11274213.839570286,0.2
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,11280493.368517959,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,11290292.526099782,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,11324268.533081245,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,11325843.305059282,0.2
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,11341647.640287412,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,11344278.226401554,0.1
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,11374452.182423957,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,11422094.006280832,0.0
daxp-FeiShiWo-TaoHuaCun.xml_15,那就是来了我西厢带路的小红娘。,11440224.876746478,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,11453061.167881608,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,11486552.127904095,0.0
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,11494278.972122664,0.0
daeh-ZiNaRi-ErJinGong.xml_0,自那日与徐杨决裂以后，,11498743.016036708,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,11509514.926414143,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,11538604.014360338,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,11546875.454588808,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,11548897.000416964,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,11554517.334094703,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,11556150.609154414,0.1
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,11560801.475219799,0.1
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,11569321.01621343,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,11654712.250547389,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,11702493.222270275,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,11704125.831577247,0.0
