不知道他与我是否一般,19,不知道他与我是否一般。
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,4324696.6901500551,0.2
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,5935537.240039289,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5957039.2128696134,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,6108912.717180822,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,6122578.5985056153,0.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,6302192.9922156986,0.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,6325431.9497809047,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,6363956.3997925278,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,6451988.2574536698,0.2
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,6547081.9757957347,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,6643613.2841350427,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,6724088.3039368475,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,6749194.0907609817,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6778949.4345438806,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,6845838.2276203046,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,6850419.3922490161,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,6882133.4658303848,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,6915913.9497498656,0.1
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6985410.6628339579,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7002803.4530660808,1.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7233489.6166167008,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,7247372.7711188849,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,7306737.496473725,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,7329829.1363982037,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7334147.1366108134,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,7371253.3151825294,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,7383872.5057061436,0.0
