帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,1371289.0878205793,0.9
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,1732036.1834739076,1.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4063080.910630445,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,4267442.2457913132,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,4486544.1678985339,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_5,恰便似嫦娥离月宫，,4534696.0957874581,0.2
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4567532.7076665424,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,4588720.463791565,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4614797.3741294527,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4614797.3741294527,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,4683982.537738638,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,4696263.7060485492,0.0
daeh-WuDuanQiao-BiYuZan.xml_1,薄命自伤怨红颜。,4835757.1940945387,0.1
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,4996821.4017858393,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,5015260.7321927035,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,5041051.418533992,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,5195437.9952895809,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,5261990.1495995177,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,5324633.350318932,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5371296.0398831386,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5516960.7568932502,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5525015.539485828,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5544233.149518895,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5569188.7015285855,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5689620.8112485483,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,5744506.3185478197,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,5750353.8860392757,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5763149.6923838239,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5781825.264775659,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5805674.328642033,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,5919191.8699113289,0.1
dldeh-ShouBiPo-ChunQiuPei.xml_2,病恹恹身无力难以挣扎。,5924301.9145472618,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5925842.7274386929,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5933636.7636260595,0.1
