辛喜得珍珠衫称心如愿,0,幸喜得珍珠衫称心如愿，
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,1686704.7366722769,0.9
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,2582751.8713391055,0.9
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,2770566.1986925183,0.1
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,2994822.3905797401,0.1
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,3182755.4018206717,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3593719.0579781705,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,3766062.2751411367,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,3974094.9728392782,0.1
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4105775.7112329779,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,4333406.826417923,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4363653.027086948,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,4511813.7079125661,0.1
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4537344.380482438,0.1
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,4546525.660391951,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,4646767.9727651281,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,4657543.1996460781,0.3
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4734826.837812677,0.1
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4748410.0990630509,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,4748527.9892683346,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,4823452.4613827551,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,4847945.2733771959,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,4847945.2733771959,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4896537.5448891399,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4915802.3036181089,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,4953550.6382733509,0.1
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4983319.4158374667,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4988330.965138644,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,5013296.5265569743,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5072848.136176683,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,5116113.5465527745,0.3
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5127667.5054737357,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5180036.5982799577,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5211627.4548904272,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5235920.6512978338,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,5237976.0369226523,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5377460.9731891016,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,5433239.1952176988,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,5434595.1946727633,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,5455385.8218786279,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,5501456.7384257093,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,5511772.9364738362,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5516083.9352329802,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5522645.5977101251,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,5532099.6985243885,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,5535714.738756814,0.2
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5539440.3417981658,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,5553615.2963288836,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,5554407.0840899199,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5610730.2394337766,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5635072.3783285124,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5733087.8432230791,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,5737916.8141557891,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,5737916.8141557891,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5745069.3171999343,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,5755187.9168525366,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,5890907.0624031387,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,5902789.1160946162,0.0
daxp-ZheCaiShi-SuoLinNang.xml_0,这才是人生难预料，,5903735.2443758557,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6031199.858946234,0.1
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6063730.9585030582,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6077230.3344474994,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,6080422.6324112397,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6090775.7683147062,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6103839.1899692155,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,6110791.0172909666,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,6116602.5282060681,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,6133108.2294831472,0.2
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,6140184.7486873707,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,6142854.2033753041,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,6177138.9055478247,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,6231155.1581175299,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,6250047.013092286,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,6310110.1693789782,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6318930.5768577401,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,6331411.449324104,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,6391503.3664232185,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,6405158.3043880416,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,6413461.9390184553,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6427261.3658310166,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6433566.0198377511,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6513881.5891846567,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6553841.0745932721,0.1
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,6556945.9535227325,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,6564179.1735938163,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6611989.8897090843,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,6670715.4814088978,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,6710052.6177307703,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,6710052.6177307703,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,6711789.7774931593,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6719331.2286039973,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,6719658.2024862068,0.0
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,6797930.0547491657,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6828164.9134034617,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6835368.0008492749,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6866587.766131049,0.1
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,6884282.0966339,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,6899693.8855833458,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6926356.0790293179,0.1
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,6985905.7236834373,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,7005992.2358161574,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7022528.2533060405,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,7028188.5616741981,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7039636.735209669,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,7064501.7891698489,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,7066414.6885624137,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,7115466.2178006228,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,7120941.8543230547,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,7121600.9159898749,0.1
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,7121687.6839687284,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,7178345.8824112676,0.1
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7196873.5478638671,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,7219946.5903666858,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,7223610.073596919,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,7230919.5330833215,0.2
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,7237458.6174638281,0.0
