宋天子主婚姻此事成全,0,宋天子主婚姻此事成全。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,1113854.6980512517,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,1962406.9801798952,1.0
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,2636788.6141572236,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,2822592.8118361975,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,3430560.1598557364,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,3739776.788684635,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,3852409.7608353784,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,3906426.5865015504,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4091589.4344489174,0.1
daeh-SunShangXiang-BieHuangGong.xml_7,阿斗儿行中途被子龙追还。,4506655.4471522691,0.1
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,4525454.1008944549,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,4603801.4166560899,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,4697058.510392691,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,4716055.8437441997,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4764417.2744782232,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,4800242.5507717589,0.1
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4855822.3660193877,0.1
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5016812.0450774962,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5025201.9165940033,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,5045223.6896194564,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5059481.0516074235,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5177059.5193419456,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,5220297.1933834897,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5221048.5575333741,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5243921.4491510317,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5243962.0483968295,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,5245947.0651293835,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5256084.1236976031,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5256084.1236976031,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5292464.5981151862,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,5303025.3459385084,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,5305513.3879840989,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5318515.7968266802,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,5322974.690119341,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5326615.6772343032,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,5341449.1512075095,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5379138.095865597,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5425998.0517090177,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5440459.9807389341,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5508834.2932341918,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5525131.5459233206,0.0
